name,categories,街镇名,lat,lng
银都路,混合区,莘庄工业区,31.09130366,121.3856486
洞泾,居住区,洞泾镇,31.08649151,121.2261118
江月路,混合区,浦江镇,31.0864317,121.5042294
鹤沙航城,居住区,航头镇,31.08031661,121.6075807
联航路,混合区,浦江镇,31.0756949,121.5062601
颛桥,混合区,颛桥镇,31.06891518,121.3972689
沈杜公路,居住区,浦江镇,31.06353275,121.5081133
航头东,居住区,航头镇,31.05722549,121.6133492
松江大学城,居住区,方松街道,31.05620729,121.2282946
惠南,居住区,惠南镇,31.05589727,121.7573902
北桥,居住区,颛桥镇,31.04707356,121.405374
新场,居住区,新场镇,31.04778729,121.6448455
松江新城,居住区,方松街道,31.03234864,121.2263508
剑川路,混合区,颛桥镇,31.02840114,121.4118833
惠南东,居住区,惠南镇,31.02865912,121.7898372
松江体育中心,居住区,岳阳街道,31.01819005,121.2261708
东川路,混合区,江川路街道,31.02024202,121.4152506
金平路,居住区,江川路街道,31.01312323,121.4054109
华宁路,混合区,江川路街道,31.00932429,121.3905562
文井路,工作区,江川路街道,31.00550322,121.3762076
闵行开发区,混合区,江川路街道,31.00256291,121.3653071
松江南站,混合区,永丰街道,30.98706045,121.2264017
书院,居住区,书院镇,30.96151643,121.8464734
临港大道,混合区,申港街道,30.92587611,121.9067719
滴水湖,混合区,申港街道,30.90929145,121.9258307
野生动物园,居住区,宣桥镇,31.05245027,121.6955191
醉白池,居住区,岳阳街道,31.00373212,121.2246262
花木路,工作区,花木街道,31.21333878,121.5581155
